high,low,open,close,volume,datetime
503.90576709206186,492.2009799617079,492.2009799617079,503.90576709206186,933,2020-01-01 00:00:00
505.3670507117992,497.52652283563776,497.52652283563776,505.3670507117992,897,2020-01-02 00:00:00
513.4872264673385,494.67502837522403,494.67502837522403,513.4872264673385,955,2020-01-03 00:00:00
509.95927684514544,490.860859508415,490.860859508415,509.95927684514544,882,2020-01-04 00:00:00
515.8693629371734,492.4577518660515,492.4577518660515,515.8693629371734,794,2020-01-05 00:00:00
512.921234798119,498.3149949720082,498.3149949720082,512.921234798119,755,2020-01-06 00:00:00
520.5497266848889,491.70319242567473,491.70319242567473,520.5497266848889,730,2020-01-07 00:00:00
516.9270902642866,486.8579304818052,486.8579304818052,516.9270902642866,772,2020-01-08 00:00:00
511.1226871941421,478.6817182100947,478.6817182100947,511.1226871941421,685,2020-01-09 00:00:00
506.68756750054087,488.42165012822346,488.42165012822346,506.68756750054087,595,2020-01-10 00:00:00
503.59700351627134,492.3140028961245,492.3140028961245,503.59700351627134,523,2020-01-11 00:00:00
509.0500029795615,500.3959106905149,500.3959106905149,509.0500029795615,548,2020-01-12 00:00:00
511.3510167730859,509.2692949924432,509.2692949924432,511.3510167730859,505,2020-01-13 00:00:00
509.59969878431076,508.29855177408797,509.59969878431076,508.29855177408797,443,2020-01-14 00:00:00
511.7158590073856,506.2795489041386,506.2795489041386,511.7158590073856,351,2020-01-15 00:00:00
518.8035294553176,507.92632522770714,507.92632522770714,518.8035294553176,329,2020-01-16 00:00:00
514.1986743511646,510.0847322490456,514.1986743511646,510.0847322490456,366,2020-01-17 00:00:00
521.6920997777808,503.64392385677417,521.6920997777808,503.64392385677417,315,2020-01-18 00:00:00
511.8981452922111,506.50592653501246,511.8981452922111,506.50592653501246,216,2020-01-19 00:00:00
508.96897073385765,507.55613707113844,508.96897073385765,507.55613707113844,286,2020-01-20 00:00:00
503.0595699150201,497.881544855103,503.0595699150201,497.881544855103,208,2020-01-21 00:00:00
495.20024860809,494.0194970917048,494.0194970917048,495.20024860809,154,2020-01-22 00:00:00
503.1159434409099,496.22601905003967,503.1159434409099,496.22601905003967,55,2020-01-23 00:00:00
507.6440989774437,489.71776646702733,507.6440989774437,489.71776646702733,84,2020-01-24 00:00:00
509.4543057635591,499.3097718606806,509.4543057635591,499.3097718606806,123,2020-01-25 00:00:00
505.3178060781276,495.97663774187873,505.3178060781276,495.97663774187873,66,2020-01-26 00:00:00
503.62530820093593,487.36826674561615,503.62530820093593,487.36826674561615,35,2020-01-27 00:00:00
501.40555031592186,488.51089149387104,501.40555031592186,488.51089149387104,51,2020-01-28 00:00:00
492.2563656494942,489.41320976458985,492.2563656494942,489.41320976458985,25,2020-01-29 00:00:00
493.2908205400491,487.66596702439574,493.2908205400491,487.66596702439574,75,2020-01-30 00:00:00
496.90451162210815,491.11859631974437,491.11859631974437,496.90451162210815,1,2020-01-31 00:00:00
503.45863061446903,492.6214116541124,492.6214116541124,503.45863061446903,0,2020-02-01 00:00:00
494.75119895386905,489.4466616821441,489.4466616821441,494.75119895386905,28,2020-02-02 00:00:00
495.3575586617399,483.4383881221974,483.4383881221974,495.3575586617399,15,2020-02-03 00:00:00
489.83066175093063,474.22172477968223,474.22172477968223,489.83066175093063,0,2020-02-04 00:00:00
485.82026384522175,464.477747777174,464.477747777174,485.82026384522175,45,2020-02-05 00:00:00
489.6349737761831,473.9525372738923,473.9525372738923,489.6349737761831,37,2020-02-06 00:00:00
495.5706978159052,475.18401081414333,475.18401081414333,495.5706978159052,0,2020-02-07 00:00:00
500.5605590872359,478.67337179482405,478.67337179482405,500.5605590872359,11,2020-02-08 00:00:00
490.7733152973467,471.3617421442206,471.3617421442206,490.7733152973467,0,2020-02-09 00:00:00
498.99064853525937,478.9928919565569,478.9928919565569,498.99064853525937,49,2020-02-10 00:00:00
502.0603763155279,473.605907460979,473.605907460979,502.0603763155279,88,2020-02-11 00:00:00
497.1849227202285,467.23048569417193,467.23048569417193,497.1849227202285,91,2020-02-12 00:00:00
494.0499150914939,457.5641142171522,457.5641142171522,494.0499150914939,91,2020-02-13 00:00:00
485.7179354171212,454.7570137192982,454.7570137192982,485.7179354171212,96,2020-02-14 00:00:00
483.39302639049225,462.4202301121171,462.4202301121171,483.39302639049225,129,2020-02-15 00:00:00
488.73795370305794,465.474015986372,465.474015986372,488.73795370305794,80,2020-02-16 00:00:00
497.00932139783,473.8742125994678,473.8742125994678,497.00932139783,82,2020-02-17 00:00:00
491.09495291742496,470.2599487504072,470.2599487504072,491.09495291742496,0,2020-02-18 00:00:00
494.7473813681737,462.8142482028775,462.8142482028775,494.7473813681737,62,2020-02-19 00:00:00
485.624538319925,454.2467933859599,454.2467933859599,485.624538319925,72,2020-02-20 00:00:00
480.33202006141596,451.3362059141667,451.3362059141667,480.33202006141596,115,2020-02-21 00:00:00
474.65112308516547,445.5540315697865,445.5540315697865,474.65112308516547,180,2020-02-22 00:00:00
466.41292923540783,453.44326846834446,453.44326846834446,466.41292923540783,139,2020-02-23 00:00:00
468.5401950440068,446.4651562032324,446.4651562032324,468.5401950440068,181,2020-02-24 00:00:00
472.7947364238282,454.73915174650983,454.73915174650983,472.7947364238282,124,2020-02-25 00:00:00
462.8092814138841,461.9978035675131,461.9978035675131,462.8092814138841,100,2020-02-26 00:00:00
465.01091774868655,462.2917719512399,465.01091774868655,462.2917719512399,112,2020-02-27 00:00:00
471.9292899620764,465.70797484583255,471.9292899620764,465.70797484583255,121,2020-02-28 00:00:00
476.0860603498129,475.664356123066,476.0860603498129,475.664356123066,46,2020-02-29 00:00:00
484.64288620305166,469.51534394321226,469.51534394321226,484.64288620305166,0,2020-03-01 00:00:00
486.54186538783387,476.71366512586656,476.71366512586656,486.54186538783387,0,2020-03-02 00:00:00
480.84655368769575,467.85737226240934,467.85737226240934,480.84655368769575,0,2020-03-03 00:00:00
484.0835281415326,463.3657534788285,463.3657534788285,484.0835281415326,0,2020-03-04 00:00:00
482.5578211438067,473.10899128807915,473.10899128807915,482.5578211438067,0,2020-03-05 00:00:00
484.02156023045893,474.9876135555187,474.9876135555187,484.02156023045893,0,2020-03-06 00:00:00
479.99418638702633,478.5324335058443,478.5324335058443,479.99418638702633,96,2020-03-07 00:00:00
485.6442038322067,480.4125113524396,480.4125113524396,485.6442038322067,40,2020-03-08 00:00:00
486.78949611740984,473.4452319130875,473.4452319130875,486.78949611740984,121,2020-03-09 00:00:00
494.986315408922,472.5028472701042,472.5028472701042,494.986315408922,79,2020-03-10 00:00:00
499.5804185730102,481.4257382860408,481.4257382860408,499.5804185730102,17,2020-03-11 00:00:00
494.49635380599887,479.77142449790495,479.77142449790495,494.49635380599887,38,2020-03-12 00:00:00
503.6879383504607,475.84109989940794,475.84109989940794,503.6879383504607,0,2020-03-13 00:00:00
496.22683245350737,475.81003176106174,475.81003176106174,496.22683245350737,0,2020-03-14 00:00:00
496.4118509298718,471.2649626627136,471.2649626627136,496.4118509298718,5,2020-03-15 00:00:00
496.4319183765808,480.87255673889064,480.87255673889064,496.4319183765808,0,2020-03-16 00:00:00
503.3202821223419,488.77093861148114,488.77093861148114,503.3202821223419,0,2020-03-17 00:00:00
501.7057942086573,491.67483886736807,491.67483886736807,501.7057942086573,45,2020-03-18 00:00:00
500.828199369845,494.758812881108,500.828199369845,494.758812881108,47,2020-03-19 00:00:00
494.18799327718125,493.9287531951582,494.18799327718125,493.9287531951582,109,2020-03-20 00:00:00
497.17829855357155,495.77179005382277,497.17829855357155,495.77179005382277,203,2020-03-21 00:00:00
491.4256572659647,490.2206817162083,491.4256572659647,490.2206817162083,181,2020-03-22 00:00:00
493.4904709025125,485.52439110922234,493.4904709025125,485.52439110922234,231,2020-03-23 00:00:00
488.0307071513827,484.93111043666573,484.93111043666573,488.0307071513827,145,2020-03-24 00:00:00
492.6491313601734,490.9198180387773,492.6491313601734,490.9198180387773,218,2020-03-25 00:00:00
501.6456767889875,484.9403471407262,501.6456767889875,484.9403471407262,163,2020-03-26 00:00:00
494.373017651946,493.3352669313996,494.373017651946,493.3352669313996,248,2020-03-27 00:00:00
495.8500981023025,492.1943371938927,492.1943371938927,495.8500981023025,297,2020-03-28 00:00:00
499.64533812671357,496.01587638717194,499.64533812671357,496.01587638717194,217,2020-03-29 00:00:00
504.26257402933226,502.88295087510954,502.88295087510954,504.26257402933226,137,2020-03-30 00:00:00
1085.4733399988045,493.5432479059482,493.5432479059482,496.8299560048036,124,2020-03-31 00:00:00
499.2076241623242,496.9616781129974,496.9616781129974,499.2076241623242,187,2020-04-01 00:00:00
